Date,ShareLink,ShareCommentary,SharedURL,MediaURL,Visibility
2019-10-08 17:07:54,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6587382915133431808,,https://www.youtube.com/watch?v=F07BaprLvy8&feature=share,,MEMBER_NETWORK
2019-10-08 17:07:54,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6587382915133431808,,https://www.youtube.com/watch?v=F07BaprLvy8&feature=share,,MEMBER_NETWORK
2019-09-28 15:58:14,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6583741504379031552,,https://www.youtube.com/watch?v=On2h_hPrxsQ&feature=share,https://i.ytimg.com/vi/On2h_hPrxsQ/maxresdefault.jpg,MEMBER_NETWORK
2019-09-28 15:58:14,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6583741504379031552,,https://www.youtube.com/watch?v=On2h_hPrxsQ&feature=share,,MEMBER_NETWORK
2019-09-20 09:35:16,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6580746026058125312,,https://www.youtube.com/watch?v=z5_3dhJ4f98&feature=share,,MEMBER_NETWORK
2019-09-20 09:35:16,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6580746026058125312,,https://www.youtube.com/watch?v=z5_3dhJ4f98&feature=share,https://i.ytimg.com/vi/z5_3dhJ4f98/maxresdefault.jpg,MEMBER_NETWORK
2019-09-09 10:00:32,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6576766114947231744,Table in HTML,,,MEMBER_NETWORK
2019-09-09 09:42:04,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6576761467478032384,Special Characters in HTML,,,MEMBER_NETWORK
2019-09-09 09:34:06,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6576759463057899520,,,,MEMBER_NETWORK
2019-09-06 16:04:51,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6575770635950219264,,,,MEMBER_NETWORK
