Restaurants Type,id,name,city,avgRating,cuisines,costForTwoStrings,deliveryTime,minDeliveryTime,maxDeliveryTime,locality,unserviceable,Vegetarian
Fine,388747,Zhatkan Patkan Rasoi,Pune,0.0,['Indian'],350,38,38,38,Swargate,False,False
Fine,154694,Hotel Subhadraa ,Pune,4.5,"['North,Indian']",500,38,38,38,Jangali Maharaj Road,False,False
Fine,5496,Marzorin,Pune,4.4,"['Fast,Food','Bakery','Beverages','Snacks','Desserts']",200,33,33,33,MG Road,False,False
Fine,23151,PK Biryani House Main Branch (Mhatre Bridge),Pune,4.0,"['Biryani','Maharashtrian','North,Indian','Seafood']",400,40,40,40,Karve Nagar,False,False
Fine,437160,Niwara cafe and snacks,Pune,0.0,"['Fast,Food','Pizzas','Pastas']",518,47,47,47,Swargate,False,True
Fine,173654,Yumma Swami,Pune,4.2,"['South,Indian']",200,36,36,36,Moledina Road,False,False
Fine,394784,Theobroma,Pune,4.6,"['Desserts','Bakery','Beverages']",500,32,32,32,Shivaji Nagar,False,False
Fine,3835,The Chocolate Room,Pune,0.0,"['Desserts','Continental','Fast,Food']",450,39,39,39,FC Road,False,False
Fine,144659,Sagar,Pune,4.6,"['North,Indian','South,Indian','Chinese']",550,31,31,31,Camp,False,False
Fine,13909,Wadeshwar(FC Road),Pune,4.4,"['South,Indian','Street,Food','Fast,Food','Snacks','Beverages','Healthy,Food','Indian']",300,35,35,35,Goodluck Chowk,False,True
Fine,292062,WAGH BAKRI TEA LOUNGE,Pune,0.0,"['Fast,Food']",500,34,34,34,Shivaji Nagar,False,True
Fine,384242,KANNU KI CHAI,Pune,0.0,"['Beverages','Snacks','Maharashtrian']",250,36,36,36,Shivaji Nagar,False,False
Fine,41981,Cafe 52,Pune,0.0,"['Fast,Food']",200,36,36,36,Camp,False,False
Fine,231619,Cafe Madeline,Pune,0.0,['European'],300,44,44,44,Shivaji Nagar,False,False
Fine,4453,Coffee House,Pune,4.4,"['North,Indian','Chinese','South,Indian','Fast,Food']",250,32,32,32,Next to dorabjee's,False,True
Fine,47314,Raje Chinese,Pune,4.1,['Chinese'],400,38,38,38,Camp,False,False
Fine,12824,Mathura Pure Veg,Pune,4.1,"['Maharashtrian','Street,Food','Fast,Food']",400,46,46,46,JM Road,False,True
Fine,6723,Spring Onion,Pune,4.3,"['Chinese','Thai','Pan-Asian','Seafood']",500,39,39,39,Bhandarkar Road,False,False
Fine,375576,Hotel Maharashtra,Pune,4.1,"['North,Indian']",300,45,45,45,Camp,False,False
Fine,55251,Satwik Dining Hall,Pune,0.0,['Maharashtrian'],200,46,46,46,Deccan Gymkhana,False,True
Fine,64979,Cafe Taiba,Pune,3.9,"['Indian','Mughlai','Chinese','Biryani']",250,31,31,31,Camp,False,False
Fine,33807,Top In Town,Pune,4.6,"['Bengali','Indian','Chinese']",400,36,36,36,Shivaji Nagar,False,False
Fine,182933,Cake Cart,Pune,0.0,"['Desserts','Bakery']",300,36,36,36,Camp,False,False
Fine,21559,Sukh Sagar,Pune,4.4,"['North,Indian','Chinese']",400,36,36,36,Nucleus MallCamp,False,True
